feature,importance_mean,importance_std
billed_amount,2555.330272143487,60.815155510495984
billed_per_unit,44.85247819450748,3.3870992023095665
in_network,34.27401739592107,16.448866716021247
plan_type,12.996080100500524,4.943745551196572
age,4.157421190827091,2.4793645214894076
procedure_group,3.9450535011954857,0.9672055059850031
day_of_week,0.8630265748194461,0.28508963919003827
prior_paid_per_claim,0.6655379198260846,0.3535057215568855
place_of_service,0.5730209159246045,0.3393373651990866
diagnosis_group,0.5181894723135428,0.5071408987840438
prior_paid_12m,0.21859812700969883,0.07932919741898642
chronic_conditions,0.18952342618278523,0.16656453873126179
tenure_months,0.1402065607004488,1.252424152304025
length_of_stay,0.01218236924932512,0.04049797099536066
deductible_ratio,0.0,0.0
month,0.0,0.0
week_of_year,0.0,0.0
log_billed,0.0,0.0
prior_claims_12m,0.0,0.0
prior_auth,0.0,0.0
deductible_remaining,0.0,0.0
gender,-0.0022173675409646876,0.017172024756775026
is_emergency,-0.3156740957429463,0.1902186713205698
units,-0.3613678243886966,5.893498605122789
days_to_submit,-0.5184141202183525,1.5198628352153378
region,-0.6023931841196315,0.09183654751707683
provider_specialty,-0.6633091580591554,0.6219873874683343
