origin,step,model,actual,pred,series
89,1,naive,357824.97000000003,147382.08000000002,paid
89,2,naive,110555.09,147382.08000000002,paid
89,3,naive,178299.63,147382.08000000002,paid
89,4,naive,204707.71,147382.08000000002,paid
89,1,seasonal_naive,357824.97000000003,182101.44,paid
89,2,seasonal_naive,110555.09,111248.71999999999,paid
89,3,seasonal_naive,178299.63,216396.77,paid
89,4,seasonal_naive,204707.71,168406.16999999998,paid
89,1,moving_avg_4w,357824.97000000003,117923.365,paid
89,2,moving_avg_4w,110555.09,117923.365,paid
89,3,moving_avg_4w,178299.63,117923.365,paid
89,4,moving_avg_4w,204707.71,117923.365,paid
89,1,holt_damped,357824.97000000003,132262.16245721446,paid
89,2,holt_damped,110555.09,132613.35615495357,paid
89,3,holt_damped,178299.63,132961.0379157153,paid
89,4,holt_damped,204707.71,133305.2428588694,paid
89,1,ridge_fourier,357824.97000000003,148717.47386450088,paid
89,2,ridge_fourier,110555.09,136609.8284338281,paid
89,3,ridge_fourier,178299.63,148376.78357273174,paid
89,4,ridge_fourier,204707.71,148465.55092055153,paid
89,1,hgb_lags,357824.97000000003,125715.84291427034,paid
89,2,hgb_lags,110555.09,93561.79163849249,paid
89,3,hgb_lags,178299.63,146905.47778359544,paid
89,4,hgb_lags,204707.71,136219.13263451232,paid
89,1,ensemble,357824.97000000003,165409.45693225044,paid
89,2,ensemble,110555.09,123929.27421691405,paid
89,3,ensemble,178299.63,182386.77678636587,paid
89,4,ensemble,204707.71,158435.86046027576,paid
90,1,naive,110555.09,357824.97000000003,paid
90,2,naive,178299.63,357824.97000000003,paid
90,3,naive,204707.71,357824.97000000003,paid
90,4,naive,168651.96,357824.97000000003,paid
90,1,seasonal_naive,110555.09,111248.71999999999,paid
90,2,seasonal_naive,178299.63,216396.77,paid
90,3,seasonal_naive,204707.71,168406.16999999998,paid
90,4,seasonal_naive,168651.96,151573.55,paid
90,1,moving_avg_4w,110555.09,177495.565,paid
90,2,moving_avg_4w,178299.63,177495.565,paid
90,3,moving_avg_4w,204707.71,177495.565,paid
90,4,moving_avg_4w,168651.96,177495.565,paid
90,1,holt_damped,110555.09,172856.54670077105,paid
90,2,holt_damped,178299.63,174065.68926452208,paid
90,3,holt_damped,204707.71,175262.74040263562,paid
90,4,holt_damped,168651.96,176447.821029368,paid
90,1,ridge_fourier,110555.09,140948.43894543772,paid
90,2,ridge_fourier,178299.63,152605.975886352,paid
90,3,ridge_fourier,204707.71,125410.96785622477,paid
90,4,ridge_fourier,168651.96,188324.3934835146,paid
90,1,hgb_lags,110555.09,210197.37040866626,paid
90,2,hgb_lags,178299.63,239406.0825904726,paid
90,3,hgb_lags,204707.71,149101.98363591736,paid
