model,split,MAE,MAE_std,RMSE,R2,stack_of,n,MAE_CI95_low,MAE_CI95_high,MedianAE,MaxAE,WAPE,sMAPE,MAPE_y>=50,ExplainedVar,Bias,RMSLE,Within10pct,PI_coverage,PI_median_width
baseline_median,cv,1767.319774048686,108.95120848425755,8079.68050763589,-0.0442637924396357,,,,,,,,,,,,,,,
random_forest,cv,243.43116762989774,11.14409632477167,1360.1283101430015,0.9698968287814956,,,,,,,,,,,,,,,
extra_trees,cv,246.3871969778375,13.144838789114814,1358.309926281359,0.9701359821307186,,,,,,,,,,,,,,,
hist_gbm,cv,238.1996262240272,24.995050071397355,1322.8547008313049,0.9719846840278447,,,,,,,,,,,,,,,
hist_gbm_tuned,cv,244.45001714628467,,,,,,,,,,,,,,,,,,
stack,cv,237.11340208509188,,,,hist_gbm+random_forest+hist_gbm_tuned,,,,,,,,,,,,,,
baseline_median,holdout,1648.511401826484,,7879.729704005491,-0.04274859143614029,,1095.0,1157.6945255707762,2096.5510988584474,101.625,86571.915,0.9362487795472793,0.77332260679631,0.6439941008940753,0.0,-1595.447136986301,1.513205389470342,0.0776255707762557,,
random_forest,holdout,234.7487908599346,,1363.944659189949,0.9687571624643035,,1095.0,156.01060568974714,321.47551444641596,21.471662212648056,24307.42542744799,0.13332226195057087,0.12505709348487845,0.12283337554118039,0.9687930052120441,-46.19789231402169,0.15575425183993288,0.4931506849315068,,
extra_trees,holdout,243.15238059881912,,1366.4150834149038,0.9686438837318946,,1095.0,165.54220167268986,325.08867080359306,21.646179515940048,23032.35383172761,0.13809496211396036,0.12527753359339852,0.12297742460164413,0.96872527077686,-69.61441123720518,0.15560581828974088,0.5077625570776255,,
hist_gbm,holdout,245.65842586423602,,1569.2742537744175,0.9586424626653857,,1095.0,157.97322707462376,340.93684017978137,21.350898389800193,28926.90080362212,0.13951823514600442,0.1203058035059253,0.11761935783601805,0.9588451507680543,-109.85900038091896,0.14911810716778698,0.5095890410958904,,
hist_gbm_tuned,holdout,242.70184847772984,,1537.646627609902,0.9602927279434721,,1095.0,156.7007406964384,337.05899966492143,21.45177961828901,27898.623518236425,0.13783908875569947,0.12248960801098918,0.11900727240506155,0.9604800061182628,-105.60028696561393,0.1504051989540811,0.5004566210045662,,
stack,holdout,242.90447170221026,,1531.3282059138708,0.9606183838099345,,1095.0,157.19446583176375,333.38667691969096,21.723094506160294,28406.637796275347,0.13795416575572356,0.12192184113479529,0.11848989476154588,0.9608609803630133,-120.1887524626133,0.15045835096908766,0.5059360730593607,,
hist_gbm (final),holdout,236.86095424027195,,1503.5155268146777,0.9620359264452331,,1095.0,151.5772546698253,327.6981961262369,21.241076573646808,27325.140836779952,0.13452183532619588,0.11751854420247257,0.11746326055885255,0.962104967210402,-64.11716513957339,0.14527635950017473,0.5287671232876713,0.947945205479452,119.03896275538466
hist_gbm expected_paid (all claims),holdout,786.6057702499629,,4042.7373452535003,0.6903429415932253,,1243.0,571.8001045350829,1022.7980949340034,33.489571388293825,47953.15404249867,0.5071231620262903,0.3922764060592999,0.15541492210150615,0.6903542567529521,24.43798415343441,2.224321821719574,0.38777152051488334,,
