week_start,claims,paid,denials,billed
2024-01-01,88,85439.17,13,449161.39
2024-01-08,83,60139.24,6,136864.87
2024-01-15,115,108158.87,15,402720.3
2024-01-22,123,235527.31,21,896214.26
2024-01-29,102,75667.34,15,338815.2
2024-02-05,105,89098.11,13,263201.33
2024-02-12,105,169790.85,8,567465.74
2024-02-19,89,79496.97,14,534277.97
2024-02-26,90,165812.64,14,363249.96
2024-03-04,100,95816.12,14,277898.9
2024-03-11,121,371604.98,12,868384.55
2024-03-18,101,212885.69,13,741988.65
2024-03-25,108,235445.84,15,607388.82
2024-04-01,117,230829.27,11,711890.68
2024-04-08,106,170435.4,21,441920.18
2024-04-15,115,160564.59,19,495091.1
2024-04-22,96,172827.57,14,551869.98
2024-04-29,97,160823.96,16,606760.38
2024-05-06,86,233871.26,14,815154.4
2024-05-13,94,82819.04,6,232033.33
2024-05-20,93,101520.32,13,203156.97999999998
2024-05-27,81,93475.67,12,295946.34
2024-06-03,96,215056.22,11,508531.17000000004
2024-06-10,62,76404.14,8,183944.68
2024-06-17,84,99969.68,8,229894.91
2024-06-24,93,139079.25,10,496027.65
2024-07-01,82,83438.0,12,298236.8
2024-07-08,81,154835.46000000002,7,317495.51
2024-07-15,81,123244.06,10,482137.14999999997
2024-07-22,81,122554.72,12,530114.23
2024-07-29,86,37164.21,12,90407.32
2024-08-05,69,96449.66,8,243744.77
2024-08-12,75,185416.7,8,352633.33999999997
2024-08-19,62,32384.13,9,79009.16
2024-08-26,98,197349.35,8,494669.42
2024-09-02,84,119291.43000000001,7,253952.71000000002
2024-09-09,79,200927.53999999998,12,505866.52999999997
2024-09-16,89,182101.44,13,476172.26
2024-09-23,71,111248.71999999999,8,259555.47
2024-09-30,82,216396.77,13,439443.01
2024-10-07,95,168406.16999999998,11,469296.65
2024-10-14,95,151573.55,10,354021.9
2024-10-21,83,36013.18,11,71823.92
2024-10-28,113,155142.33,21,382694.55
2024-11-04,84,202663.31,8,396769.41000000003
2024-11-11,111,295158.77,14,712624.09
2024-11-18,113,243731.16999999998,9,488119.95
2024-11-25,108,86154.5,16,292287.55
2024-12-02,112,160237.43,13,488599.49
2024-12-09,108,151501.35,15,517618.04000000004
2024-12-16,96,203472.86,10,420466.44
2024-12-23,81,64474.99,6,137205.95
2024-12-30,70,248507.59999999998,11,727947.61
2025-01-06,120,299354.49,18,679978.46
2025-01-13,120,201024.54,12,556786.02
2025-01-20,114,155596.4,9,365312.62
2025-01-27,125,266012.93,10,755270.51
2025-02-03,115,154275.9,21,621465.84
2025-02-10,112,314920.66,18,826940.19
2025-02-17,132,128395.94,14,429339.44
2025-02-24,92,154739.21,12,406699.35
2025-03-03,114,46069.57,16,473382.2
2025-03-10,132,244558.47999999998,14,681009.97
2025-03-17,113,103849.05,14,176635.31
2025-03-24,113,67288.08,13,221916.13999999998
2025-03-31,107,65545.35,11,335272.14
2025-04-07,106,162974.81,13,327960.82
2025-04-14,130,132340.81,16,312240.09
2025-04-21,95,111533.18000000001,14,584332.69
2025-04-28,96,146729.49,18,503017.29
2025-05-05,90,252842.01,13,510143.45
2025-05-12,87,193559.53,9,392758.26
2025-05-19,83,106085.1,5,214119.01
2025-05-26,104,127584.97,10,242170.46
2025-06-02,97,87661.87000000001,12,496015.58
2025-06-09,82,210993.79,13,478837.84
2025-06-16,77,57059.0,8,307654.32
2025-06-23,97,152399.62,8,282745.83
2025-06-30,85,216648.51,9,651431.22
2025-07-07,71,112542.58,9,274341.58
2025-07-14,86,36637.67,9,148950.81
2025-07-21,80,182496.86,16,571036.27
2025-07-28,77,179112.91,9,333339.5
2025-08-04,88,242004.2,10,603433.56
2025-08-11,69,36851.46,10,296408.59
2025-08-18,89,119536.17,9,486661.20999999996
2025-08-25,86,87494.4,5,171757.52
2025-09-01,75,117280.81,8,201757.75
2025-09-08,90,147382.08000000002,12,321356.85
2025-09-15,97,357824.97000000003,18,677948.15
2025-09-22,93,110555.09,12,405148.62
2025-09-29,92,178299.63,15,583582.89
2025-10-06,101,204707.71,8,515892.48000000004
2025-10-13,91,168651.96,12,402696.83999999997
2025-10-20,79,53691.69,11,351892.52
2025-10-27,89,92188.55,7,162077.56
2025-11-03,96,104401.98,19,740363.61
2025-11-10,115,245840.96,9,582858.11
2025-11-17,98,251732.8,12,518430.06
2025-11-24,105,170149.82,11,353850.96
2025-12-01,112,134455.87,13,335420.27
2025-12-08,123,134108.33000000002,17,507844.64
2025-12-15,114,199531.47,15,406367.03
2025-12-22,107,146871.94,13,411754.89999999997
